Question,Answer
215 + 418 - 173 - 129 + 663 + 698 - 227 + 610,2075
158 - 492 - 724 + 807 - 256 + 433 + 734 + 690,1350
495 + 484 + 487 - 142 + 678 + 815 - 685 + 515,2647
151 + 847 - 401 - 568 + 928 - 199 - 350 - 410,-2
243 - 412 - 653 - 907 + 857 - 243 + 446 - 149,-818
726 + 134 + 332 + 614 + 407 - 330 + 741 + 204,2828
237 - 872 - 262 - 228 + 146 + 785 - 274 + 828,360
- 634 - 131 - 107 - 447 - 395 + 512 - 806 + 181,-1827
- 892 + 841 + 576 + 898 + 969 + 914 - 912 - 164,2230
771 + 384 + 816 + 522 + 545 - 801 + 492 + 696,3425
553 + 749 + 116 + 834 - 882 - 354 - 956 + 600,660
688 + 246 - 568 + 533 + 615 - 845 - 884 - 755,-970
- 295 + 710 + 403 + 192 + 106 - 290 + 819 + 417,2062
454 - 554 + 623 - 821 + 897 + 943 + 482 + 941,2965
- 120 + 316 - 408 + 169 - 628 - 288 + 929 + 899,869
460 + 483 + 300 + 139 + 492 + 395 - 835 + 650,2084
- 626 - 786 + 623 - 663 + 921 - 510 - 821 + 346,-1516
- 354 - 910 - 633 - 982 - 566 - 617 + 110 - 529,-4481
620 - 454 + 487 - 956 + 656 + 742 + 791 - 152,1734
945 - 454 - 124 + 275 + 707 - 821 + 132 + 830,1490
210 + 503 + 765 - 110 + 122 + 377 + 823 + 198,2888
- 416 + 127 + 491 + 923 - 628 + 520 - 959 + 554,612
- 386 - 919 + 184 + 105 + 444 + 696 + 678 + 865,1667
849 - 163 - 654 + 321 + 178 + 179 + 181 - 455,436
807 - 748 - 844 + 824 + 114 - 763 - 776 + 779,-607
- 895 + 618 + 125 + 747 - 728 + 771 + 108 - 930,-184
991 - 814 - 939 + 295 - 803 + 686 + 634 + 811,861
- 728 - 645 + 706 + 679 + 972 + 543 - 522 - 572,433
- 337 + 163 - 845 + 915 + 433 + 598 + 959 + 176,2062
200 + 876 - 344 + 705 - 204 - 854 - 904 + 402,-123
- 365 + 203 - 642 - 418 + 446 - 131 - 665 - 355,-1927
837 + 320 + 314 + 537 - 400 - 318 + 798 + 588,2676
666 + 605 - 943 + 306 - 464 + 322 + 326 - 314,504
- 521 - 354 - 794 + 300 - 853 - 544 + 227 + 651,-1888
- 920 + 170 - 123 + 106 - 665 - 757 + 398 + 498,-1293
297 + 652 + 848 - 443 - 402 - 394 - 461 - 764,-667
- 622 - 111 + 923 - 659 - 416 - 326 + 246 - 808,-1773
- 678 - 980 + 833 + 187 - 743 - 475 + 559 + 375,-922
368 + 540 + 873 - 211 + 499 + 917 - 432 + 221,2775
- 106 - 710 - 418 + 753 - 951 + 599 - 449 - 173,-1455
- 113 - 889 - 383 - 875 - 803 + 508 + 775 + 226,-1554
- 165 + 273 - 758 - 162 + 912 + 355 + 870 - 575,750
953 - 881 + 500 + 644 + 171 - 762 + 622 - 912,335
- 139 + 776 + 625 - 857 + 844 - 792 + 243 + 662,1362
- 524 + 631 + 563 - 190 + 844 - 190 + 721 + 429,2284
502 - 477 - 501 - 452 + 178 - 274 + 728 - 177,-473
- 374 + 222 - 976 + 639 + 812 + 963 - 862 + 438,862
- 766 - 711 - 633 + 251 - 279 - 333 - 870 - 922,-4263
- 901 - 704 + 626 + 239 - 361 - 621 + 958 + 373,-391
806 - 511 - 453 + 351 - 128 - 538 - 845 - 855,-2173
741 - 831 + 391 + 314 + 697 + 694 - 272 + 952,2686
445 - 468 - 396 - 969 + 418 - 219 + 205 + 276,-708
477 - 463 + 766 - 980 + 839 + 591 - 451 - 950,-171
- 262 + 345 + 525 + 509 - 110 + 504 + 868 - 339,2040
- 832 + 568 + 587 - 955 - 110 + 786 + 949 + 979,1972
116 - 693 + 272 - 835 + 657 + 699 - 148 + 810,878
- 425 - 534 - 417 - 354 - 332 - 314 - 987 - 225,-3588
131 - 394 + 135 - 299 + 708 - 900 + 297 - 506,-828
281 - 643 + 722 + 745 - 378 + 577 - 252 + 929,1981
143 - 320 + 337 - 723 + 119 + 455 - 473 - 218,-680
- 572 - 592 + 500 + 904 - 346 + 613 - 996 + 112,-377
- 501 - 384 + 672 + 110 + 556 - 342 - 466 + 220,-135
783 + 175 + 264 - 298 - 218 + 502 - 876 + 131,463
- 568 - 466 - 880 + 616 - 142 - 263 + 834 + 731,-138
827 - 569 + 266 + 710 - 370 - 849 - 561 + 460,-86
130 - 165 + 895 - 742 + 460 + 706 + 186 + 891,2361
- 610 + 424 - 631 - 439 - 819 - 192 + 896 + 836,-535
- 841 + 361 - 516 + 595 + 505 - 999 + 890 + 332,327
- 250 - 496 - 505 - 882 + 279 + 680 + 343 - 736,-1567
787 - 725 - 438 - 771 + 992 - 292 - 813 - 760,-2020
334 - 582 + 989 - 805 - 898 + 682 - 818 + 696,-402
169 - 816 - 153 + 868 - 604 + 996 + 816 - 323,953
293 + 503 - 347 - 265 + 766 + 309 + 922 - 873,1308
812 - 992 - 410 - 204 - 721 - 750 + 604 + 218,-1443
991 - 315 + 407 + 521 - 410 + 157 + 177 + 363,1891
999 + 779 - 693 + 995 + 601 + 773 - 398 + 877,3933
101 + 585 + 486 - 302 - 722 + 536 - 901 - 457,-674
- 194 - 470 + 972 + 401 - 258 - 804 + 233 + 131,11
413 - 476 + 312 + 682 - 247 + 641 - 572 + 847,1600
929 + 923 + 893 + 556 + 757 + 707 + 227 + 873,5865
350 - 853 + 773 - 791 - 200 - 322 + 578 + 231,-234
- 396 - 933 + 795 + 622 - 586 - 852 - 656 + 884,-1122
- 216 - 354 - 943 - 754 + 579 + 237 + 731 + 511,-209
- 640 + 132 - 217 + 249 - 923 - 941 - 561 - 579,-3480
- 527 + 343 - 372 + 956 + 361 + 372 + 859 + 368,2360
- 552 + 357 + 340 + 380 - 936 + 912 - 465 + 958,994
- 135 + 811 - 445 - 608 - 832 - 721 + 241 + 242,-1447
