Question,Answer
21 + 12 - 25 - 40 - 39 + 66 - 21 - 15 + 75 + 20 - 15 + 59 + 28 + 58 + 17 - 25,176
- 63 + 43 + 56 + 90 - 49 + 12 + 11 - 71 - 52 + 67 - 41 - 48 - 64 + 25 - 15 - 84,-183
17 + 25 - 68 + 92 + 56 - 56 - 14 - 20 - 24 + 37 + 55 - 39 - 17 + 85 + 86 + 13,228
- 60 - 49 - 72 + 92 + 41 + 35 + 24 + 40 + 17 + 81 + 21 + 14 - 23 - 85 + 45 - 21,100
38 + 14 - 42 - 99 - 48 + 28 + 63 + 29 + 48 + 74 - 47 - 39 + 42 + 18 + 60 + 91,230
- 89 - 94 + 62 - 68 + 98 + 96 - 83 + 29 + 30 - 64 - 77 + 32 + 91 + 74 + 32 + 54,123
66 + 21 - 25 + 96 - 55 - 52 - 23 + 68 + 44 - 88 + 85 + 65 - 66 + 10 - 68 + 51,129
49 - 94 + 43 + 61 - 17 - 35 - 47 - 55 + 29 - 12 + 71 + 40 + 92 + 10 + 77 + 91,303
- 93 + 17 - 45 - 47 + 70 + 48 - 31 + 89 - 10 + 11 - 39 + 51 + 12 + 22 - 38 + 81,98
- 79 - 62 + 37 - 20 + 98 + 99 - 46 + 92 + 54 + 10 + 49 + 49 + 44 - 57 + 66 + 50,384
- 62 - 49 - 33 + 36 - 63 + 92 - 95 + 85 + 22 + 46 + 35 - 16 + 68 + 49 - 92 - 56,-33
67 - 22 + 15 - 39 - 62 + 39 + 13 - 89 - 56 + 65 - 64 + 62 - 20 - 62 - 94 + 97,-150
- 16 + 41 + 75 + 70 - 95 + 20 + 38 + 30 - 21 - 84 + 72 - 60 - 20 + 12 + 51 - 70,43
- 40 + 98 + 41 + 44 - 63 - 19 + 33 - 62 + 70 + 85 - 95 + 54 + 38 - 26 - 43 - 40,75
- 15 + 44 - 13 - 22 - 88 + 65 - 84 + 26 + 78 - 42 + 31 + 17 + 93 - 13 - 23 - 65,-11
80 - 65 - 79 + 58 + 24 + 11 - 58 + 99 - 66 + 79 + 89 - 41 - 73 + 56 + 47 - 72,89
92 + 41 + 89 - 40 - 99 - 45 + 26 + 92 + 95 - 80 - 70 - 22 + 58 + 11 + 72 - 76,144
