Question,Answer
21 + 12 - 25 - 40 - 39 + 66 - 21 - 15,-41
- 75 + 20 - 15 + 59 + 28 + 58 + 17 - 25,67
- 63 + 43 + 56 + 90 - 49 + 12 + 11 - 71,29
52 + 67 - 41 - 48 - 64 + 25 - 15 - 84,-108
17 + 25 - 68 + 92 + 56 - 56 - 14 - 20,32
24 + 37 + 55 - 39 - 17 + 85 + 86 + 13,244
- 60 - 49 - 72 + 92 + 41 + 35 + 24 + 40,51
- 17 + 81 + 21 + 14 - 23 - 85 + 45 - 21,15
38 + 14 - 42 - 99 - 48 + 28 + 63 + 29,-17
- 48 + 74 - 47 - 39 + 42 + 18 + 60 + 91,151
- 89 - 94 + 62 - 68 + 98 + 96 - 83 + 29,-49
- 30 - 64 - 77 + 32 + 91 + 74 + 32 + 54,112
66 + 21 - 25 + 96 - 55 - 52 - 23 + 68,96
- 44 - 88 + 85 + 65 - 66 + 10 - 68 + 51,-55
49 - 94 + 43 + 61 - 17 - 35 - 47 - 55,-95
- 29 - 12 + 71 + 40 + 92 + 10 + 77 + 91,340
- 93 + 17 - 45 - 47 + 70 + 48 - 31 + 89,8
10 + 11 - 39 + 51 + 12 + 22 - 38 + 81,110
- 79 - 62 + 37 - 20 + 98 + 99 - 46 + 92,119
- 54 + 10 + 49 + 49 + 44 - 57 + 66 + 50,157
- 62 - 49 - 33 + 36 - 63 + 92 - 95 + 85,-89
- 22 + 46 + 35 - 16 + 68 + 49 - 92 - 56,12
67 - 22 + 15 - 39 - 62 + 39 + 13 - 89,-78
56 + 65 - 64 + 62 - 20 - 62 - 94 + 97,40
- 16 + 41 + 75 + 70 - 95 + 20 + 38 + 30,163
21 - 84 + 72 - 60 - 20 + 12 + 51 - 70,-78
- 40 + 98 + 41 + 44 - 63 - 19 + 33 - 62,32
- 70 + 85 - 95 + 54 + 38 - 26 - 43 - 40,-97
- 15 + 44 - 13 - 22 - 88 + 65 - 84 + 26,-87
- 78 - 42 + 31 + 17 + 93 - 13 - 23 - 65,-80
80 - 65 - 79 + 58 + 24 + 11 - 58 + 99,70
66 + 79 + 89 - 41 - 73 + 56 + 47 - 72,151
92 + 41 + 89 - 40 - 99 - 45 + 26 + 92,156
- 95 - 80 - 70 - 22 + 58 + 11 + 72 - 76,-202
44 + 66 + 79 + 97 - 54 + 65 + 25 - 72,250
- 33 + 84 + 59 + 59 + 25 + 43 + 70 - 60,247
90 + 86 - 20 - 64 - 29 + 47 + 15 - 20,105
19 + 27 + 53 + 12 + 36 + 83 + 19 + 33,282
18 + 44 + 76 + 27 - 62 - 55 - 83 + 41,6
- 50 + 44 + 47 - 40 + 67 - 63 - 84 + 98,19
66 - 12 - 27 + 42 + 16 - 46 + 54 + 23,116
- 72 - 14 + 52 + 37 + 17 - 42 + 10 - 85,-97
66 + 21 + 76 + 51 + 92 + 51 + 78 + 40,475
- 16 - 66 - 78 - 74 - 84 + 98 - 29 - 42,-291
- 80 + 84 - 43 - 40 + 27 + 57 - 27 - 64,-86
- 62 + 79 + 22 + 35 - 69 - 41 + 66 - 63,-33
- 78 - 18 + 67 - 69 + 34 + 40 + 87 - 74,-11
- 57 - 63 - 92 + 75 - 36 - 94 + 83 - 41,-225
21 + 49 - 10 - 46 + 31 + 21 + 10 - 46,30
- 36 + 87 + 53 - 95 - 11 - 15 + 90 - 73,0
- 11 - 48 - 38 - 47 - 85 - 80 - 93 - 32,-434
51 + 36 + 16 + 44 + 59 - 80 - 72 + 91,145
- 90 - 31 - 15 - 85 - 95 - 66 + 61 + 16,-305
- 54 + 17 - 45 + 93 + 38 - 22 + 13 - 92,-52
64 + 58 - 57 + 84 - 69 + 42 + 35 + 62,219
- 52 - 51 + 84 - 40 - 90 + 84 + 55 + 13,3
- 23 + 39 - 50 + 59 - 57 + 23 - 52 + 17,-44
- 47 + 12 + 80 - 77 + 37 + 53 + 86 - 66,78
- 39 + 81 - 54 + 89 - 23 + 48 + 76 - 17,161
- 59 + 41 + 51 - 27 + 56 + 36 - 19 - 32,47
- 90 - 77 + 30 + 61 + 39 - 36 - 25 + 43,-55
83 + 73 - 80 - 76 + 89 - 42 + 51 - 12,86
77 - 39 + 68 - 65 - 74 - 76 + 20 - 22,-111
- 24 + 69 - 72 + 85 - 39 + 52 - 44 + 99,126
26 - 79 - 79 + 41 + 55 - 51 + 51 + 76,40
47 + 15 + 82 - 69 - 80 + 83 + 10 + 37,125
29 - 50 + 26 + 53 - 11 + 54 + 19 - 11,109
- 80 + 33 - 83 - 39 + 83 - 84 - 84 - 79,-333
65 - 11 - 12 - 14 + 99 + 79 - 11 - 55,140
- 54 - 28 - 35 + 65 - 42 - 46 + 87 + 20,-33
- 42 - 97 + 79 + 73 - 54 - 33 + 89 + 46,61
71 - 35 - 13 + 29 + 22 + 51 - 99 + 70,96
86 + 54 - 74 - 16 - 28 - 95 + 21 + 36,-16
- 55 - 37 - 44 - 26 - 29 + 29 - 14 + 69,-107
- 94 + 77 - 33 + 11 + 41 - 78 - 41 - 28,-145
- 57 - 48 + 63 + 19 + 14 - 34 - 22 + 89,24
61 + 22 + 50 + 98 + 63 - 30 + 20 + 55,339
- 37 + 19 - 71 + 30 - 78 + 32 - 83 - 51,-239
98 - 21 - 74 + 16 - 60 + 31 + 56 + 95,141
68 - 16 + 26 - 14 + 58 + 12 + 47 + 41,222
82 + 96 - 82 - 66 + 20 - 37 - 56 - 38,-81
23 + 60 - 13 + 75 - 30 - 57 - 42 + 46,62
82 - 32 - 68 + 91 + 61 + 24 + 29 + 23,210
49 - 81 + 75 + 41 - 68 + 46 + 84 + 24,170
- 66 + 64 + 95 + 50 - 37 - 40 - 12 + 32,86
- 25 + 49 - 46 + 68 - 82 + 27 - 52 + 42,-19
- 47 - 46 - 78 - 68 - 58 + 96 - 71 + 99,-173
- 48 + 69 + 37 - 70 - 33 + 16 + 83 - 98,-44
15 - 89 - 80 + 25 + 86 + 96 - 16 - 35,2
86 - 48 + 68 - 60 - 64 - 93 + 63 - 23,-71
29 + 52 + 36 + 71 - 65 + 76 + 32 - 30,201
- 38 - 83 - 81 - 46 + 95 + 11 - 14 - 72,-228
88 + 84 + 41 + 28 - 99 + 27 - 92 + 75,152
- 31 - 41 + 40 - 61 - 72 + 63 - 99 - 10,-211
85 - 49 + 95 + 60 - 81 + 66 - 87 + 77,166
10 - 22 - 23 - 72 - 12 - 72 - 53 - 49,-293
- 23 - 67 + 19 + 86 + 21 - 33 + 11 - 25,-11
39 + 81 + 40 + 31 - 41 + 99 - 93 + 36,192
- 92 - 24 - 52 + 35 - 37 + 47 - 92 - 93,-308
- 60 - 35 + 56 + 75 - 31 - 54 + 88 + 73,112
35 - 15 + 90 - 36 - 91 - 20 + 29 + 34,26
81 + 41 + 39 - 28 + 23 - 66 + 32 - 58,64
38 + 66 - 77 + 84 + 21 + 78 + 38 + 47,295
64 + 57 + 33 - 54 + 24 + 21 + 64 + 62,271
- 45 + 71 + 59 - 92 - 19 + 68 - 25 - 89,-72
- 52 + 81 + 26 - 39 + 66 + 36 + 21 + 54,193
93 + 68 + 55 + 93 - 54 + 12 + 80 - 93,254
63 + 95 - 69 + 58 + 13 - 24 + 38 + 66,240
18 - 83 - 96 + 83 + 21 + 42 + 33 - 68,-50
56 + 89 - 43 - 11 - 80 - 31 + 28 - 85,-77
- 90 - 49 - 79 + 19 - 60 - 69 - 63 - 62,-453
- 53 - 96 + 39 - 64 + 92 + 72 - 34 - 53,-97
- 38 + 28 + 56 + 44 + 18 + 28 - 98 - 18,20
58 + 81 + 81 + 39 + 51 - 34 - 22 + 34,288
- 75 - 14 - 73 + 73 - 75 + 15 + 20 - 34,-163
19 + 19 + 66 - 97 - 56 + 43 - 45 - 26,-77
- 12 - 22 - 39 + 22 + 31 + 67 + 27 + 79,153
29 + 88 - 15 - 56 + 35 - 18 + 12 + 78,153
- 42 + 47 - 65 - 70 + 33 + 83 + 36 + 63,85
- 35 + 58 + 31 + 26 - 57 + 67 - 13 - 21,56
17 + 45 + 59 + 37 - 99 + 26 - 44 - 70,-29
82 + 99 + 62 - 11 - 13 - 76 + 87 - 47,183
86 - 75 - 57 + 62 + 59 + 28 + 71 - 92,82
79 + 55 + 15 + 97 - 67 - 44 + 30 + 10,175
63 - 51 - 41 + 17 + 49 - 42 + 23 + 20,38
- 91 - 99 + 25 + 54 - 89 - 60 + 30 - 80,-310
- 13 - 95 - 46 - 83 - 59 + 90 + 87 - 25,-144
- 19 - 60 - 74 - 98 + 80 - 76 - 51 + 59,-239
- 51 - 52 - 98 - 17 + 69 + 76 + 37 + 93,57
- 71 - 21 - 71 - 21 - 76 + 95 - 69 - 27,-261
85 + 90 - 45 + 95 - 33 - 99 + 58 + 60,211
- 97 - 80 - 35 + 82 - 57 + 89 - 23 + 21,-100
62 - 78 - 68 - 87 + 15 + 78 + 58 + 24,4
- 69 - 85 + 77 + 81 + 73 + 52 + 83 + 62,274
- 59 - 60 - 58 - 69 - 20 - 47 - 83 - 38,-434
13 + 59 + 55 - 69 - 86 + 52 + 33 - 53,4
- 63 + 69 + 57 + 99 - 72 - 21 + 78 - 98,49
- 83 + 51 + 35 + 45 + 28 - 59 - 20 + 49,46
- 61 + 97 - 66 + 87 + 56 - 46 - 57 - 28,-18
- 38 - 48 + 62 + 95 + 94 + 34 - 76 + 79,202
64 - 55 + 38 + 30 + 12 - 49 - 15 + 88,113
91 - 11 + 33 - 31 - 34 - 78 - 84 - 62,-176
67 + 78 - 21 - 45 + 23 + 39 - 45 + 60,156
17 + 64 - 99 + 72 + 51 + 90 + 92 + 58,345
- 45 - 77 + 40 - 78 + 99 + 36 + 26 - 24,-23
- 80 - 90 + 24 + 21 + 59 - 52 - 19 + 37,-100
- 52 - 11 - 80 - 28 + 27 - 86 - 39 + 39,-230
37 - 33 - 25 - 81 - 55 + 98 - 20 + 31,-48
- 90 - 78 - 30 + 80 - 17 - 11 + 21 + 77,-48
- 44 + 88 + 34 - 39 - 23 + 39 - 74 + 89,70
- 67 - 96 - 47 - 75 + 30 + 63 + 91 - 59,-160
12 + 38 - 18 + 69 + 96 + 24 + 44 - 60,205
95 + 50 - 80 - 69 + 37 + 36 + 62 - 88,43
39 + 67 + 38 - 40 + 19 + 64 + 10 - 78,119
- 67 - 90 + 84 - 47 - 93 + 86 + 34 + 41,-52
- 89 - 24 - 66 + 60 + 99 - 27 + 31 + 51,35
- 98 - 39 - 60 + 53 - 97 + 80 - 78 + 91,-148
