Question,Answer
215 + 418 - 173 - 129,331
- 663 + 698 - 227 + 610,418
158 - 492 - 724 + 807,-251
256 + 433 + 734 + 690,2113
495 + 484 + 487 - 142,1324
- 678 + 815 - 685 + 515,-33
151 + 847 - 401 - 568,29
- 928 - 199 - 350 - 410,-1887
243 - 412 - 653 - 907,-1729
- 857 - 243 + 446 - 149,-803
726 + 134 + 332 + 614,1806
- 407 - 330 + 741 + 204,208
237 - 872 - 262 - 228,-1125
- 146 + 785 - 274 + 828,1193
- 634 - 131 - 107 - 447,-1319
395 + 512 - 806 + 181,282
- 892 + 841 + 576 + 898,1423
- 969 + 914 - 912 - 164,-1131
771 + 384 + 816 + 522,2493
- 545 - 801 + 492 + 696,-158
553 + 749 + 116 + 834,2252
882 - 354 - 956 + 600,172
688 + 246 - 568 + 533,899
- 615 - 845 - 884 - 755,-3099
- 295 + 710 + 403 + 192,1010
- 106 - 290 + 819 + 417,840
454 - 554 + 623 - 821,-298
- 897 + 943 + 482 + 941,1469
- 120 + 316 - 408 + 169,-43
628 - 288 + 929 + 899,2168
460 + 483 + 300 + 139,1382
- 492 + 395 - 835 + 650,-282
- 626 - 786 + 623 - 663,-1452
- 921 - 510 - 821 + 346,-1906
- 354 - 910 - 633 - 982,-2879
566 - 617 + 110 - 529,-470
620 - 454 + 487 - 956,-303
- 656 + 742 + 791 - 152,725
945 - 454 - 124 + 275,642
- 707 - 821 + 132 + 830,-566
210 + 503 + 765 - 110,1368
- 122 + 377 + 823 + 198,1276
- 416 + 127 + 491 + 923,1125
628 + 520 - 959 + 554,743
- 386 - 919 + 184 + 105,-1016
- 444 + 696 + 678 + 865,1795
849 - 163 - 654 + 321,353
- 178 + 179 + 181 - 455,-273
807 - 748 - 844 + 824,39
- 114 - 763 - 776 + 779,-874
- 895 + 618 + 125 + 747,595
728 + 771 + 108 - 930,677
991 - 814 - 939 + 295,-467
803 + 686 + 634 + 811,2934
- 728 - 645 + 706 + 679,12
- 972 + 543 - 522 - 572,-1523
- 337 + 163 - 845 + 915,-104
- 433 + 598 + 959 + 176,1300
200 + 876 - 344 + 705,1437
204 - 854 - 904 + 402,-1152
- 365 + 203 - 642 - 418,-1222
- 446 - 131 - 665 - 355,-1597
837 + 320 + 314 + 537,2008
400 - 318 + 798 + 588,1468
666 + 605 - 943 + 306,634
464 + 322 + 326 - 314,798
- 521 - 354 - 794 + 300,-1369
853 - 544 + 227 + 651,1187
- 920 + 170 - 123 + 106,-767
665 - 757 + 398 + 498,804
297 + 652 + 848 - 443,1354
402 - 394 - 461 - 764,-1217
- 622 - 111 + 923 - 659,-469
416 - 326 + 246 - 808,-472
- 678 - 980 + 833 + 187,-638
743 - 475 + 559 + 375,1202
368 + 540 + 873 - 211,1570
- 499 + 917 - 432 + 221,207
- 106 - 710 - 418 + 753,-481
951 + 599 - 449 - 173,928
- 113 - 889 - 383 - 875,-2260
803 + 508 + 775 + 226,2312
- 165 + 273 - 758 - 162,-812
- 912 + 355 + 870 - 575,-262
953 - 881 + 500 + 644,1216
- 171 - 762 + 622 - 912,-1223
- 139 + 776 + 625 - 857,405
- 844 - 792 + 243 + 662,-731
- 524 + 631 + 563 - 190,480
- 844 - 190 + 721 + 429,116
502 - 477 - 501 - 452,-928
- 178 - 274 + 728 - 177,99
- 374 + 222 - 976 + 639,-489
- 812 + 963 - 862 + 438,-273
- 766 - 711 - 633 + 251,-1859
279 - 333 - 870 - 922,-1846
- 901 - 704 + 626 + 239,-740
361 - 621 + 958 + 373,1071
806 - 511 - 453 + 351,193
128 - 538 - 845 - 855,-2110
741 - 831 + 391 + 314,615
- 697 + 694 - 272 + 952,677
445 - 468 - 396 - 969,-1388
- 418 - 219 + 205 + 276,-156
477 - 463 + 766 - 980,-200
- 839 + 591 - 451 - 950,-1649
- 262 + 345 + 525 + 509,1117
110 + 504 + 868 - 339,1143
- 832 + 568 + 587 - 955,-632
110 + 786 + 949 + 979,2824
116 - 693 + 272 - 835,-1140
- 657 + 699 - 148 + 810,704
- 425 - 534 - 417 - 354,-1730
332 - 314 - 987 - 225,-1194
131 - 394 + 135 - 299,-427
- 708 - 900 + 297 - 506,-1817
281 - 643 + 722 + 745,1105
378 + 577 - 252 + 929,1632
143 - 320 + 337 - 723,-563
- 119 + 455 - 473 - 218,-355
- 572 - 592 + 500 + 904,240
346 + 613 - 996 + 112,75
- 501 - 384 + 672 + 110,-103
- 556 - 342 - 466 + 220,-1144
783 + 175 + 264 - 298,924
218 + 502 - 876 + 131,-25
- 568 - 466 - 880 + 616,-1298
142 - 263 + 834 + 731,1444
827 - 569 + 266 + 710,1234
370 - 849 - 561 + 460,-580
130 - 165 + 895 - 742,118
- 460 + 706 + 186 + 891,1323
- 610 + 424 - 631 - 439,-1256
819 - 192 + 896 + 836,2359
- 841 + 361 - 516 + 595,-401
- 505 - 999 + 890 + 332,-282
- 250 - 496 - 505 - 882,-2133
- 279 + 680 + 343 - 736,8
787 - 725 - 438 - 771,-1147
- 992 - 292 - 813 - 760,-2857
334 - 582 + 989 - 805,-64
898 + 682 - 818 + 696,1458
169 - 816 - 153 + 868,68
604 + 996 + 816 - 323,2093
293 + 503 - 347 - 265,184
- 766 + 309 + 922 - 873,-408
812 - 992 - 410 - 204,-794
721 - 750 + 604 + 218,793
991 - 315 + 407 + 521,1604
410 + 157 + 177 + 363,1107
999 + 779 - 693 + 995,2080
- 601 + 773 - 398 + 877,651
101 + 585 + 486 - 302,870
722 + 536 - 901 - 457,-100
- 194 - 470 + 972 + 401,709
258 - 804 + 233 + 131,-182
413 - 476 + 312 + 682,931
247 + 641 - 572 + 847,1163
929 + 923 + 893 + 556,3301
- 757 + 707 + 227 + 873,1050
350 - 853 + 773 - 791,-521
200 - 322 + 578 + 231,687
- 396 - 933 + 795 + 622,88
586 - 852 - 656 + 884,-38
- 216 - 354 - 943 - 754,-2267
- 579 + 237 + 731 + 511,900
- 640 + 132 - 217 + 249,-476
923 - 941 - 561 - 579,-1158
- 527 + 343 - 372 + 956,400
- 361 + 372 + 859 + 368,1238
- 552 + 357 + 340 + 380,525
936 + 912 - 465 + 958,2341
- 135 + 811 - 445 - 608,-377
832 - 721 + 241 + 242,594
- 338 - 558 - 218 - 933,-2047
114 + 706 + 131 - 885,66
- 901 - 748 - 820 - 960,-3429
691 + 616 + 114 - 396,1025
- 398 + 921 + 237 - 324,436
531 - 263 - 844 + 644,68
- 188 - 477 - 980 - 858,-2503
- 810 + 354 - 834 - 224,-1514
223 + 260 - 450 - 463,-430
- 732 - 722 - 101 - 124,-1679
196 - 544 - 559 - 746,-1653
- 430 - 519 - 500 - 312,-1761
394 + 553 + 445 + 717,2109
- 798 - 831 - 180 - 546,-2355
- 351 - 824 + 147 + 832,-196
- 470 - 947 + 312 + 483,-622
- 362 + 490 - 134 + 821,815
- 266 - 743 - 250 - 421,-1680
175 - 380 - 342 - 899,-1446
- 264 + 678 + 888 + 399,1701
- 621 + 639 + 787 + 677,1482
472 - 909 - 875 + 752,-560
- 592 - 284 + 769 - 379,-486
- 556 - 530 - 365 - 734,-2185
- 303 + 106 + 885 - 241,447
- 179 - 478 + 641 + 410,394
- 915 - 771 - 514 - 489,-2689
600 + 109 + 920 - 395,1234
460 + 949 - 429 + 187,1167
259 - 478 + 997 - 598,180
- 802 - 937 + 514 + 951,-274
523 - 796 - 615 + 976,88
- 372 + 242 + 662 - 261,271
216 - 883 - 966 - 917,-2550
857 + 216 - 749 - 523,-199
997 - 480 + 519 - 770,266
352 + 438 - 608 - 923,-741
- 218 + 758 - 956 - 887,-1303
- 159 - 281 - 131 + 469,-102
850 - 123 + 647 + 452,1826
- 838 + 502 - 475 - 158,-969
693 + 728 - 767 - 338,316
136 - 454 - 886 - 986,-2190
- 521 + 417 + 835 + 369,1100
- 576 - 326 + 381 + 278,-243
985 + 341 + 913 + 545,2784
- 283 - 859 + 633 + 951,442
- 970 - 604 - 505 - 636,-2715
571 - 964 - 963 + 852,-504
- 956 + 482 + 267 + 669,462
643 - 964 - 522 + 102,-741
496 - 850 - 789 - 201,-1344
- 330 + 807 + 496 - 884,89
622 - 693 - 151 - 235,-457
- 230 - 516 - 705 - 107,-1558
- 647 - 890 + 834 + 290,-413
- 927 - 164 - 297 + 730,-658
788 - 342 - 221 - 714,-489
- 802 + 621 + 412 + 249,480
527 - 602 - 445 - 201,-721
802 - 811 - 868 - 729,-1606
- 393 - 745 + 691 - 681,-1128
553 - 256 + 722 + 190,1209
788 + 654 + 990 - 801,1631
- 212 - 331 + 618 + 824,899
395 + 592 - 597 + 479,869
- 675 - 538 - 886 + 530,-1569
- 630 + 158 - 290 + 338,-424
180 - 184 - 531 + 534,-1
606 - 770 + 898 - 169,565
- 377 - 542 + 768 - 939,-1090
- 673 - 419 + 200 + 954,62
- 103 - 753 - 169 + 184,-841
475 + 990 - 302 + 541,1704
- 894 + 538 - 735 + 199,-892
279 + 453 + 909 - 839,802
608 + 155 - 348 - 178,237
- 917 + 215 + 731 - 824,-795
453 + 794 - 458 + 610,1399
871 + 794 + 793 + 836,3294
525 - 985 - 297 - 838,-1595
- 357 + 755 + 931 - 466,863
- 516 - 586 + 877 + 201,-24
- 409 + 421 - 424 - 726,-1138
426 - 282 - 391 - 102,-349
712 + 403 + 444 - 336,1223
292 + 989 - 725 - 584,-28
- 765 - 337 - 703 - 330,-2135
- 247 + 820 + 469 + 539,1581
880 - 189 + 621 + 504,1816
160 - 722 - 925 + 139,-1348
284 - 567 - 791 + 495,-579
744 + 515 - 362 + 118,1015
459 - 497 + 648 - 243,367
496 - 127 + 482 - 741,110
- 785 - 248 - 495 + 585,-943
- 972 - 908 - 552 - 631,-3063
- 875 + 216 - 511 - 653,-1823
770 + 597 - 764 + 504,1107
- 360 - 821 - 673 - 184,-2038
182 - 154 - 321 - 707,-1000
- 506 - 912 + 816 + 852,250
- 684 - 904 - 989 - 991,-3568
- 347 - 893 + 531 - 789,-1498
516 + 820 - 503 - 407,426
- 174 - 261 + 942 + 666,1173
- 756 + 161 + 698 + 672,775
- 791 - 114 - 775 + 476,-1204
- 153 + 375 - 899 - 678,-1355
747 + 948 - 226 - 404,1065
- 552 - 178 + 277 - 568,-1021
- 581 - 826 + 858 - 741,-1290
- 535 - 577 + 654 + 712,254
- 108 + 781 - 718 - 747,-792
- 710 - 129 + 542 - 902,-1199
784 + 729 + 174 + 735,2422
- 124 - 771 - 726 - 894,-2515
630 + 868 + 807 + 519,2824
462 + 614 - 138 + 736,1674
- 415 - 236 - 264 + 516,-399
534 + 738 - 184 + 449,1537
121 - 309 - 197 - 108,-493
471 - 958 - 220 + 968,261
846 + 745 - 935 - 675,-19
997 - 422 + 634 - 504,705
- 464 + 375 - 349 - 759,-1197
986 - 923 + 554 - 372,245
585 - 628 + 807 - 748,16
300 - 478 - 545 - 107,-830
- 675 + 444 - 658 + 740,-149
- 502 - 780 + 993 + 765,476
- 103 - 865 + 295 + 481,-192
- 793 - 450 - 336 - 358,-1937
191 + 291 + 347 - 333,496
- 498 + 609 - 613 - 181,-683
- 869 - 414 + 739 + 194,-350
541 + 822 + 303 + 423,2089
209 + 832 + 661 + 503,2205
- 502 - 647 + 759 + 267,-123
- 505 - 560 - 769 + 384,-1450
928 - 550 - 718 + 551,211
- 103 + 467 + 845 - 338,871
- 607 - 707 + 331 - 159,-1142
366 - 744 + 205 - 632,-805
- 402 + 634 + 833 + 130,1195
- 846 - 304 - 263 - 351,-1764
- 620 + 983 + 471 + 662,1496
- 611 - 884 + 422 - 895,-1968
610 + 958 - 631 - 267,670
- 463 - 344 - 483 + 777,-513
- 764 + 466 - 947 + 281,-964
835 - 742 + 109 + 140,342
771 + 548 + 857 - 693,1483
- 643 + 942 - 821 - 941,-1463
397 - 863 + 776 + 646,956
- 255 - 837 - 601 - 177,-1870
220 + 305 + 502 + 176,1203
213 + 436 - 718 - 769,-838
- 791 + 539 + 166 - 189,-275
602 + 653 + 383 - 951,687
315 + 342 + 968 + 864,2489
372 + 935 - 862 + 439,884
- 945 - 345 - 123 + 935,-478
181 + 498 - 872 + 715,522
617 - 490 + 951 - 593,485
679 + 931 + 638 - 653,1595
- 718 + 401 + 847 - 221,309
- 850 - 852 + 175 - 744,-2271
- 750 - 216 - 541 - 967,-2474
- 570 + 679 + 316 + 318,743
- 155 - 665 + 127 + 345,-348
482 - 909 - 250 - 682,-1359
521 - 960 + 732 + 635,928
228 + 545 + 373 - 192,954
- 449 + 228 - 843 - 437,-1501
394 - 401 - 484 + 339,-152
- 942 + 929 + 949 + 212,1148
403 + 904 - 711 - 362,234
514 + 708 - 802 + 863,1283
- 168 + 396 + 638 - 210,656
441 - 966 - 957 + 837,-645
- 198 + 965 + 831 - 279,1319
987 - 983 + 325 - 517,-188
646 + 970 - 249 - 160,1207
- 962 - 836 - 694 + 354,-2138
- 649 - 893 + 434 - 524,-1632
- 478 - 488 + 453 + 597,84
859 - 527 + 312 - 742,-98
- 599 - 676 - 434 - 611,-2320
464 + 794 - 345 + 144,1057
264 + 638 + 622 + 179,1703
- 177 + 291 - 805 + 999,308
367 - 230 - 361 + 264,40
- 692 + 832 - 156 - 234,-250
- 270 + 978 + 110 + 228,1046
- 517 - 720 + 744 + 937,444
389 + 898 + 405 + 284,1976
- 826 - 936 - 875 + 875,-1762
- 303 - 951 - 827 - 389,-2470
- 325 + 668 + 100 + 883,1326
705 - 145 - 226 + 841,1175
- 766 + 621 + 895 + 783,1533
- 265 - 571 - 599 - 152,-1587
- 889 - 294 - 749 - 131,-2063
- 786 + 253 - 756 + 541,-748
- 892 + 640 - 229 + 714,233
684 - 747 - 528 - 656,-1247
- 787 - 218 - 504 + 939,-570
- 690 - 564 - 180 - 566,-2000
- 406 + 738 + 458 + 328,1118
- 299 - 206 + 132 + 632,259
452 - 850 + 116 - 496,-778
491 + 195 + 999 + 384,2069
768 + 756 - 510 - 955,59
- 690 + 955 + 329 - 737,-143
115 + 821 - 927 - 859,-850
- 530 - 754 + 687 - 440,-1037
- 393 - 801 + 178 - 629,-1645
517 - 455 - 895 - 875,-1708
533 + 493 - 859 - 701,-534
318 - 352 + 931 + 287,1184
531 + 857 + 563 - 363,1588
199 - 199 + 745 + 960,1705
- 236 + 275 - 410 - 690,-1061
398 + 919 - 358 + 851,1810
364 - 351 - 993 - 499,-1479
- 387 + 285 - 243 + 399,54
780 - 561 - 608 - 132,-521
133 - 773 - 165 - 527,-1332
534 + 269 - 684 - 792,-673
861 + 788 - 680 - 615,354
342 + 691 - 785 - 117,131
259 - 319 - 732 - 961,-1753
415 + 785 + 942 + 356,2498
- 429 - 457 - 591 + 337,-1140
- 823 + 718 + 469 + 899,1263
- 505 - 203 + 864 - 392,-236
477 - 778 - 755 + 836,-220
- 208 - 317 + 301 - 966,-1190
- 851 + 410 - 198 + 970,331
424 - 714 - 920 - 578,-1788
- 468 - 123 + 194 - 615,-1012
283 - 387 + 994 + 291,1181
- 727 + 279 + 559 + 322,433
104 + 398 - 639 - 854,-991
- 913 + 930 + 548 + 942,1507
358 + 781 - 457 + 309,991
142 + 231 - 979 - 216,-822
- 413 + 162 + 548 + 498,795
836 + 253 - 986 - 670,-567
960 - 523 + 588 - 702,323
- 697 + 926 - 915 - 151,-837
335 - 156 - 216 + 361,324
750 - 685 - 487 - 210,-632
703 + 983 - 661 - 557,468
864 + 768 + 707 + 147,2486
593 + 133 + 316 - 899,143
556 + 437 + 268 - 473,788
- 240 + 479 - 860 - 193,-814
- 973 + 521 - 518 + 365,-605
- 685 + 710 + 100 + 359,484
- 511 + 750 + 142 + 938,1319
- 362 - 884 + 988 + 566,308
- 648 + 467 - 346 + 749,222
299 + 291 - 993 - 858,-1261
- 424 - 210 - 166 + 518,-282
- 668 + 385 + 219 - 519,-583
878 + 299 + 341 + 976,2494
- 507 + 283 + 890 - 482,184
883 - 125 - 493 - 777,-512
886 + 922 + 600 + 720,3128
632 - 841 - 129 - 422,-760
- 226 + 841 - 186 - 884,-455
- 858 + 866 + 443 + 503,954
- 831 + 709 - 531 + 677,24
233 - 794 + 549 + 762,750
- 893 + 507 - 993 - 148,-1527
196 + 288 + 472 + 224,1180
782 - 304 - 470 + 377,385
- 837 + 851 + 647 - 840,-179
- 697 + 120 + 475 + 942,840
178 - 963 + 234 - 460,-1011
- 502 + 776 + 149 - 640,-217
- 647 + 144 + 786 - 435,-152
- 338 + 715 - 358 + 332,351
607 + 499 - 564 - 534,8
- 997 - 342 + 700 + 561,-78
- 282 + 673 - 281 - 750,-640
- 837 - 360 + 832 + 828,463
- 182 - 603 + 312 + 503,30
- 795 - 205 - 227 - 364,-1591
467 - 222 - 361 - 220,-336
- 112 + 789 + 158 - 460,375
- 329 + 208 + 147 - 876,-850
802 + 564 + 195 + 403,1964
- 301 + 971 + 996 + 568,2234
- 824 - 845 - 701 + 259,-2111
- 947 - 428 + 710 - 665,-1330
275 - 918 - 448 + 597,-494
- 380 + 742 - 183 + 246,425
467 - 508 + 723 + 926,1608
159 + 774 + 165 - 679,419
790 - 628 - 574 - 170,-582
558 - 193 - 189 + 409,585
- 631 - 978 + 949 + 351,-309
458 + 205 + 689 - 527,825
- 807 + 355 - 815 - 775,-2042
- 152 - 452 + 165 + 168,-271
511 - 440 - 803 - 826,-1558
- 256 - 651 - 788 - 455,-2150
- 974 - 443 + 882 + 355,-180
249 - 849 - 460 + 687,-373
- 688 + 284 - 710 + 367,-747
883 - 259 + 194 - 137,681
- 464 - 897 - 138 + 610,-889
314 - 256 + 333 + 598,989
128 + 992 - 426 + 836,1530
- 397 - 901 + 482 + 413,-403
267 + 789 + 982 + 992,3030
- 125 + 518 + 436 + 897,1726
778 + 297 + 223 - 881,417
405 - 850 + 623 - 771,-593
698 - 722 + 687 - 448,215
- 442 - 129 + 368 + 210,7
- 203 - 522 + 123 - 770,-1372
- 972 - 897 + 893 - 576,-1552
