Question,Answer
21 + 12 - 25 - 40,-32
39 + 66 - 21 - 15,69
- 75 + 20 - 15 + 59,-11
- 28 + 58 + 17 - 25,22
- 63 + 43 + 56 + 90,126
49 + 12 + 11 - 71,1
52 + 67 - 41 - 48,30
64 + 25 - 15 - 84,-10
17 + 25 - 68 + 92,66
- 56 - 56 - 14 - 20,-146
24 + 37 + 55 - 39,77
17 + 85 + 86 + 13,201
- 60 - 49 - 72 + 92,-89
- 41 + 35 + 24 + 40,58
- 17 + 81 + 21 + 14,99
23 - 85 + 45 - 21,-38
38 + 14 - 42 - 99,-89
48 + 28 + 63 + 29,168
- 48 + 74 - 47 - 39,-60
- 42 + 18 + 60 + 91,127
- 89 - 94 + 62 - 68,-189
- 98 + 96 - 83 + 29,-56
- 30 - 64 - 77 + 32,-139
- 91 + 74 + 32 + 54,69
66 + 21 - 25 + 96,158
55 - 52 - 23 + 68,48
- 44 - 88 + 85 + 65,18
66 + 10 - 68 + 51,59
49 - 94 + 43 + 61,59
17 - 35 - 47 - 55,-120
- 29 - 12 + 71 + 40,70
- 92 + 10 + 77 + 91,86
- 93 + 17 - 45 - 47,-168
- 70 + 48 - 31 + 89,36
10 + 11 - 39 + 51,33
- 12 + 22 - 38 + 81,53
- 79 - 62 + 37 - 20,-124
- 98 + 99 - 46 + 92,47
- 54 + 10 + 49 + 49,54
- 44 - 57 + 66 + 50,15
- 62 - 49 - 33 + 36,-108
63 + 92 - 95 + 85,145
- 22 + 46 + 35 - 16,43
- 68 + 49 - 92 - 56,-167
67 - 22 + 15 - 39,21
62 + 39 + 13 - 89,25
56 + 65 - 64 + 62,119
20 - 62 - 94 + 97,-39
- 16 + 41 + 75 + 70,170
95 + 20 + 38 + 30,183
21 - 84 + 72 - 60,-51
20 + 12 + 51 - 70,13
- 40 + 98 + 41 + 44,143
63 - 19 + 33 - 62,15
- 70 + 85 - 95 + 54,-26
- 38 - 26 - 43 - 40,-147
- 15 + 44 - 13 - 22,-6
88 + 65 - 84 + 26,95
- 78 - 42 + 31 + 17,-72
- 93 - 13 - 23 - 65,-194
80 - 65 - 79 + 58,-6
- 24 + 11 - 58 + 99,28
66 + 79 + 89 - 41,193
73 + 56 + 47 - 72,104
92 + 41 + 89 - 40,182
99 - 45 + 26 + 92,172
- 95 - 80 - 70 - 22,-267
- 58 + 11 + 72 - 76,-51
44 + 66 + 79 + 97,286
54 + 65 + 25 - 72,72
- 33 + 84 + 59 + 59,169
- 25 + 43 + 70 - 60,28
90 + 86 - 20 - 64,92
29 + 47 + 15 - 20,71
19 + 27 + 53 + 12,111
- 36 + 83 + 19 + 33,99
18 + 44 + 76 + 27,165
62 - 55 - 83 + 41,-35
- 50 + 44 + 47 - 40,1
- 67 - 63 - 84 + 98,-116
66 - 12 - 27 + 42,69
- 16 - 46 + 54 + 23,15
- 72 - 14 + 52 + 37,3
- 17 - 42 + 10 - 85,-134
66 + 21 + 76 + 51,214
- 92 + 51 + 78 + 40,77
- 16 - 66 - 78 - 74,-234
84 + 98 - 29 - 42,111
- 80 + 84 - 43 - 40,-79
- 27 + 57 - 27 - 64,-61
- 62 + 79 + 22 + 35,74
69 - 41 + 66 - 63,31
- 78 - 18 + 67 - 69,-98
- 34 + 40 + 87 - 74,19
- 57 - 63 - 92 + 75,-137
36 - 94 + 83 - 41,-16
21 + 49 - 10 - 46,14
- 31 + 21 + 10 - 46,-46
- 36 + 87 + 53 - 95,9
11 - 15 + 90 - 73,13
- 11 - 48 - 38 - 47,-144
85 - 80 - 93 - 32,-120
51 + 36 + 16 + 44,147
- 59 - 80 - 72 + 91,-120
- 90 - 31 - 15 - 85,-221
95 - 66 + 61 + 16,106
- 54 + 17 - 45 + 93,11
- 38 - 22 + 13 - 92,-139
64 + 58 - 57 + 84,149
69 + 42 + 35 + 62,208
- 52 - 51 + 84 - 40,-59
90 + 84 + 55 + 13,242
- 23 + 39 - 50 + 59,25
57 + 23 - 52 + 17,45
- 47 + 12 + 80 - 77,-32
- 37 + 53 + 86 - 66,36
- 39 + 81 - 54 + 89,77
23 + 48 + 76 - 17,130
- 59 + 41 + 51 - 27,6
- 56 + 36 - 19 - 32,-71
- 90 - 77 + 30 + 61,-76
- 39 - 36 - 25 + 43,-57
83 + 73 - 80 - 76,0
- 89 - 42 + 51 - 12,-92
77 - 39 + 68 - 65,41
74 - 76 + 20 - 22,-4
- 24 + 69 - 72 + 85,58
39 + 52 - 44 + 99,146
26 - 79 - 79 + 41,-91
